x,y,rho,ux,uy
79,4,0.959679,0.00586709,-0.00102386
80,4,0.959489,0.00640118,-0.000644174
81,4,0.959309,0.00677122,-0.000283178
82,4,0.959141,0.00698395,5.49312e-05
83,4,0.958986,0.00704801,0.000366734
84,4,0.958844,0.00697377,0.000649576
85,4,0.958716,0.00677299,0.000901494
86,4,0.958601,0.00645864,0.00112109
87,4,0.958501,0.00604466,0.00130734
88,4,0.958414,0.00554587,0.00145933
89,4,0.958341,0.00497801,0.00157604
90,4,0.95828,0.00435774,0.00165603
91,4,0.958232,0.00370221,0.00169701
92,4,0.958197,0.00302985,0.00169604
93,4,0.958173,0.00236303,0.00165
94,4,0.958156,0.00172782,0.00155252
95,4,0.958156,0.00114986,0.00139381
96,4,0.958176,0.000658774,0.00117354
97,4,0.958172,0.000288549,0.000851556
98,4,0.958192,6.81612e-05,0.000445044
99,4,0.958234,0,-4.96179e-06
0,5,0.963602,0,-1.0609e-05
1,5,0.963617,6.45115e-05,-0.000239589
2,5,0.963633,0.000188283,-0.00035397
3,5,0.963624,0.000324463,-0.000411951
4,5,0.963608,0.00043986,-0.000402617
5,5,0.963591,0.000512532,-0.000335705
6,5,0.963562,0.000530932,-0.000224417
7,5,0.963526,0.000489101,-7.51351e-05
8,5,0.963487,0.000381578,0.000100756
9,5,0.963443,0.000202656,0.000294567
10,5,0.963394,-5.16801e-05,0.000499947
11,5,0.963341,-0.00038409,0.000712257
12,5,0.963284,-0.000796744,0.000928492
13,5,0.963223,-0.00129142,0.00114699
14,5,0.963158,-0.00186949,0.00136702
15,5,0.963089,-0.00253208,0.00158843
16,5,0.963016,-0.00328019,0.00181146
17,5,0.96294,-0.00411474,0.00203646
18,5,0.96286,-0.00503654,0.00226377
19,5,0.962776,-0.00604621,0.00249352
20,5,0.962688,-0.00714407,0.00272558
21,5,0.962597,-0.00833006,0.0029594
22,5,0.962501,-0.00960356,0.00319402
23,5,0.962402,-0.0109633,0.00342801
24,5,0.9623,-0.0124071,0.00365949
25,5,0.962195,-0.0139318,0.00388612
26,5,0.962086,-0.0155333,0.00410514
27,5,0.961975,-0.0172061,0.00431345
28,5,0.961863,-0.0189434,0.00450761
29,5,0.961749,-0.0207372,0.00468396
30,5,0.961635,-0.0225782,0.00483865
31,5,0.961522,-0.0244556,0.00496775
32,5,0.961409,-0.0263573,0.00506734
33,5,0.9613,-0.0282702,0.00513356
34,5,0.961194,-0.0301799,0.00516274
35,5,0.961093,-0.0320712,0.00515145
36,5,0.960999,-0.0339282,0.00509663
37,5,0.960913,-0.0357344,0.00499565
38,5,0.960835,-0.0374727,0.00484639
39,5,0.960768,-0.0391264,0.00464733
40,5,0.960713,-0.0406784,0.00439757
41,5,0.960671,-0.0421124,0.00409694
42,5,0.960642,-0.0434125,0.003746
43,5,0.960629,-0.0445635,0.00334607
44,5,0.960631,-0.0455515,0.00289926
45,5,0.960648,-0.0463638,0.00240846
46,5,0.960682,-0.0469889,0.00187731
47,5,0.96073,-0.0474173,0.00131024
48,5,0.960794,-0.0476408,0.000712348
49,5,0.960871,-0.0476534,8.94088e-05
50,5,0.96096,-0.0474509,-0.000552204
51,5,0.961059,-0.0470311,-0.00120559
52,5,0.961167,-0.0463941,-0.00186339
53,5,0.961279,-0.0455418,-0.00251791
54,5,0.961395,-0.0444786,-0.00316119
55,5,0.96151,-0.0432109,-0.00378513
56,5,0.961621,-0.0417472,-0.00438162
57,5,0.961725,-0.0400983,-0.00494267
58,5,0.96182,-0.0382767,-0.00546054
59,5,0.961901,-0.0362971,-0.0059279
60,5,0.961966,-0.034176,-0.00633795
61,5,0.962012,-0.0319315,-0.00668461
62,5,0.962038,-0.0295833,-0.00696262
63,5,0.962041,-0.0271523,-0.0071677
64,5,0.96202,-0.0246607,-0.00729669
65,5,0.961974,-0.0221313,-0.00734763
66,5,0.961905,-0.0195875,-0.00731983
67,5,0.961811,-0.0170532,-0.00721397
68,5,0.961694,-0.0145518,-0.0070321
69,5,0.961557,-0.0121064,-0.00677762
70,5,0.9614,-0.00973951,-0.00645524
71,5,0.961228,-0.00747222,-0.0060709
72,5,0.961041,-0.00532423,-0.00563163
73,5,0.960845,-0.00331342,-0.00514539
74,5,0.960641,-0.00145551,-0.00462089
75,5,0.960433,0.000236131,-0.00406736
76,5,0.960224,0.00175075,-0.00349431
77,5,0.960018,0.00308035,-0.00291129
78,5,0.959816,0.00421976,-0.00232763
79,5,0.959621,0.00516669,-0.00175224
80,5,0.959435,0.00592171,-0.00119335
81,5,0.95926,0.0064881,-0.000658408
82,5,0.959097,0.00687174,-0.000153871
83,5,0.958946,0.00708089,0.000314805
84,5,0.958809,0.00712594,0.000743186
85,5,0.958686,0.00701918,0.00112778
86,5,0.958577,0.00677458,0.00146589
87,5,0.958481,0.00640754,0.00175535
88,5,0.958398,0.00593472,0.00199426
89,5,0.958328,0.00537391,0.00218053
90,5,0.95827,0.00474425,0.00231166
91,5,0.958224,0.00406655,0.00238421
92,5,0.958188,0.00336275,0.00239314
93,5,0.958166,0.00265613,0.00233213
94,5,0.958154,0.00197427,0.00219385
95,5,0.958145,0.0013489,0.00196279
96,5,0.958154,0.000811008,0.00163031
97,5,0.958174,0.000387651,0.00119039
98,5,0.958188,0.00010604,0.000620251
99,5,0.95823,0,2.59579e-06
0,6,0.963634,0,-1.78845e-05
1,6,0.963647,4.83135e-05,-0.000322825
2,6,0.963653,0.000143105,-0.00047118
